#{"t_start": 1694254663.1472363, "env_id": null}
r,l,t
24.126629,88,7200.989565
26.194735,85,7217.967556
28.832879,99,7237.707106
25.891691,90,7256.571623
24.735886,93,7275.131876
9.597879,44,7283.902404
24.575443,70,7297.867069
22.230017,69,7311.737816
20.34989,77,7326.946473
23.564327,79,7342.664037
22.229139,103,7364.882866
15.381267,82,7381.172137
28.114756,86,7398.404771
20.028316,103,7418.926578
24.380871,77,7434.435507
15.606295,85,7452.888714
27.317197,85,7469.868016
23.677263,93,7488.382844
28.03291,91,7506.573371
26.577786,92,7524.989101
18.563049,84,7541.663435
24.609409,80,7558.809825
19.83576,103,7579.29298
17.369552,103,7599.797057
26.702048,89,7617.522974
21.834867,103,7638.031471
23.048335,77,7653.373583
24.802418,97,7674.469742
27.678726,71,7688.617419
23.523192,71,7702.94995
23.451891,73,7717.483134
26.955977,99,7737.265239
27.498559,88,7754.650184
22.925775,76,7770.884406
26.016573,68,7784.332371
23.201612,76,7799.540524
25.251432,97,7818.873708
14.929195,53,7829.429621
23.207696,83,7846.029515
25.774642,98,7866.697463
24.743291,73,7881.197682
23.498258,73,7895.909308
26.208888,83,7912.475183
24.052553,60,7924.48454
23.241726,74,7939.196952
26.435251,90,7957.043504
23.143745,78,7973.703683
23.550558,65,7986.575681
13.410645,60,7998.500267
27.221898,87,8015.872558
24.517628,85,8032.795722
23.250693,89,8050.57069
23.652538,76,8065.673394
24.11123,92,8084.948061
23.717507,103,8105.503922
27.838799,60,8117.510032
26.54193,93,8135.994203
23.455038,102,8156.402351
23.949703,91,8175.865193
26.002841,84,8192.616197
22.936685,75,8207.508203
25.186306,65,8220.463903
22.461976,70,8234.465602
25.615036,77,8249.752718
26.697743,74,8264.437747
21.867669,96,8285.225881
26.070017,71,8299.419557
25.048795,63,8311.90512
24.10938,59,8323.699776
19.465639,93,8342.24644
27.951845,67,8355.615189
21.243661,95,8374.550821
27.888334,74,8390.465481
27.641098,73,8404.944969
26.084805,87,8422.23093
23.684116,77,8437.620424
25.584868,78,8453.257242
24.2013,74,8467.98418
25.916988,65,8480.951573
26.985557,74,8496.761592
26.386211,68,8510.435929
18.078753,103,8530.88722
24.147212,71,8545.079064
23.331941,61,8557.282745
9.368385,39,8565.107252
9.764529,35,8571.943549
25.626623,76,8588.093108
26.657113,75,8603.040427
26.196751,75,8617.99094
27.159318,89,8635.838075
23.769298,58,8647.268738
26.680535,74,8662.022475
27.985338,71,8676.202394
29.058303,76,8692.287371
27.031687,84,8708.985255
26.08421,86,8726.042842
27.541536,73,8740.758732
24.826386,75,8755.56774
26.470158,71,8769.701902
26.033082,75,8784.690741
25.830804,94,8804.552459
24.363602,78,8820.25071
10.944279,48,8829.676606
11.055994,43,8838.268012
28.366196,91,8856.402034
25.23143,77,8871.646996
25.142048,69,8885.398433
27.370191,86,8903.587424
22.708449,64,8916.345122
25.615927,72,8930.629137
24.456401,77,8945.993791
10.171012,55,8956.963669
25.665125,78,8972.459107
25.224862,65,8985.40308
25.232185,68,9000.534453
23.39801,94,9019.233836
26.379119,65,9032.135762
23.149432,71,9046.274134
11.274058,48,9055.784007
11.079612,55,9066.844334
24.609654,83,9083.339548
28.133568,80,9099.236171
25.463031,80,9116.289805
23.909628,76,9131.388756
23.193453,71,9145.567008
16.088083,64,9158.338476
22.878152,79,9174.057417
25.817578,77,9189.386614
24.001078,77,9206.726919
24.205011,74,9221.259298
23.829107,71,9235.381572
26.076366,74,9250.120217
26.237874,72,9264.385842
22.887236,69,9278.109282
26.369575,88,9295.655578
28.436024,85,9314.276286
21.545776,76,9329.394068
21.614106,66,9342.602177
16.164782,56,9353.812557
27.875722,93,9372.289289
25.070677,78,9387.742647
23.955292,74,9402.530537
28.244173,88,9421.701594
23.560338,74,9436.462163
22.989826,62,9448.820479
24.657286,66,9462.049143
26.295871,64,9474.707238
22.869229,66,9487.949517
24.84446,81,9504.081806
21.996379,82,9522.013661
25.711582,97,9541.413916
23.565973,84,9558.120264
27.555573,78,9573.745469
27.64554,101,9593.957446
23.790056,99,9613.543774
25.45021,76,9630.406286
23.500162,63,9642.953884
26.982098,85,9659.984499
26.280166,100,9679.859006
10.525512,62,9692.197682
22.80873,76,9707.433742
22.006837,103,9729.05764
22.92124,95,9747.974428
27.840321,99,9767.715867
21.024373,84,9784.381474
24.703562,74,9799.185376
22.5738,76,9814.311219
27.015389,97,9834.764072
23.199895,77,9850.125255
22.703729,77,9865.548223
26.735911,103,9886.107375
27.954966,99,9905.817854
27.264806,89,9923.579481
25.417386,90,9943.152085
26.011138,72,9957.527939
25.262074,86,9974.642354
25.692469,80,9990.621403
22.392566,78,10006.133604
25.097467,91,10024.281312
28.119286,75,10040.885751
30.123649,76,10056.004452
22.92026,103,10076.582791
25.919018,95,10095.514605
26.498341,77,10110.882339
20.055004,103,10131.517313
24.604768,85,10149.619442
24.731824,90,10167.449211
15.480253,63,10180.068436
25.760437,66,10193.279088
25.479635,66,10206.376745
23.177146,86,10223.546295
24.026601,73,10238.117815
23.567652,78,10254.766743
28.048157,79,10270.548658
17.368199,103,10291.093591
25.037713,66,10304.103498
26.004984,77,10319.449359
25.875066,97,10338.853108
25.227213,76,10355.178438
18.491924,103,10375.677648
24.348359,88,10393.187499
26.316637,87,10410.415257
25.219643,74,10425.270812
24.528959,73,10439.824988
26.809601,100,10461.486433
26.146936,85,10478.41701
28.288003,78,10493.99605
24.855053,69,10507.785662
10.555305,60,10519.77493
24.91275,88,10537.345612
25.030915,73,10553.57765
24.200613,90,10571.554009
27.141058,74,10586.354608
23.430127,84,10603.032967
23.504987,77,10618.300865
28.195167,75,10633.3087
27.550477,79,10649.015563
26.438897,84,10666.874006
22.591817,93,10685.453721
27.54257,73,10699.959144
25.514829,91,10718.154707
19.317765,79,10733.953029
25.318537,85,10750.933366
22.841562,67,10765.020765
22.922731,87,10782.408341
27.224241,86,10799.629833
21.473907,103,10820.020745
22.609627,54,10830.824749
25.7551,77,10846.232082
27.394309,94,10865.859452
26.290752,85,10882.845962
24.175546,67,10896.198125
25.094954,72,10910.432977
9.481008,50,10920.419927
26.105865,66,10933.551511
26.37826,89,10951.229227
25.785902,79,10967.973439
26.688101,90,10985.845903
27.419118,77,11001.212795
23.190822,69,11015.007331
26.30018,92,11033.347187
14.988588,103,11053.88759
10.042068,62,11066.299347
22.987077,99,11087.680361
25.628861,84,11104.44839
25.685447,91,11122.576524
22.449361,70,11136.491713
18.2434,103,11156.984975
26.463249,84,11175.351624
26.085786,84,11192.091454
24.203718,91,11210.184293
22.747338,76,11225.342716
22.358231,87,11242.68983
26.034902,81,11258.867703
24.420183,89,11277.686942
25.776315,72,11292.095028
30.162457,85,11309.090403
24.558836,66,11322.145925
24.05151,93,11340.633516
26.592304,54,11351.294433
24.575568,84,11368.073631
21.667579,64,11382.602756
26.160464,66,11395.765131
27.540345,102,11416.144996
27.065306,89,11433.946248
23.207835,74,11448.684148
16.638051,103,11469.228729
29.095439,97,11489.613237
25.667178,70,11503.648581
24.766304,97,11522.984862
24.619976,99,11542.750783
18.795649,70,11556.62462
15.153335,68,11570.220135
25.0227,80,11587.84877
24.932537,103,11608.379783
26.279931,81,11624.564315
26.463047,80,11640.511618
23.182455,88,11658.109336
25.107767,101,11678.104995
24.472002,98,11699.339198
13.973781,73,11713.847915
29.249315,91,11732.03566
27.350461,88,11749.613607
26.647126,69,11763.424098
23.524229,79,11779.195076
25.46904,87,11798.14908
23.282205,69,11811.848457
27.065651,90,11829.844236
29.22944,100,11849.825858
27.628306,82,11866.167397
26.565523,64,11878.937969
26.286233,94,11899.222452
24.686501,84,11915.986551
27.349684,101,11936.053609
27.131121,99,11955.831517
27.169434,79,11971.480791
11.300094,57,11982.77535
24.261216,75,11997.766198
24.701828,92,12017.866413
24.622029,76,12032.93304
27.07301,91,12051.208274
11.885855,60,12063.06337
25.495187,74,12077.86696
24.782,80,12093.833959
24.098964,77,12110.77449
23.649037,81,12126.821404
26.196709,84,12143.56017
26.041485,86,12160.758709
27.315233,93,12179.258761
25.515175,75,12194.120143
24.393377,86,12212.580157
27.497386,89,12230.396891
25.57276,91,12248.592699
27.498966,80,12264.570009
24.397955,86,12281.798258
26.238494,89,12299.548462
26.160628,71,12315.302505
25.868999,90,12333.168525
24.334018,76,12348.303649
24.745695,76,12363.461531
25.223541,79,12379.162901
27.79174,98,12398.773509
24.877258,77,12415.974417
24.769667,67,12429.099855
25.275174,72,12443.628585
23.741982,78,12458.937967
26.638286,92,12477.305814
26.887705,78,12492.857291
25.439728,88,12510.38314
29.619505,77,12526.661372
25.899573,87,12544.060442
26.721724,72,12558.551701
27.168685,95,12577.521335
28.873441,84,12594.117498
21.472757,75,12609.043658
27.050459,97,12629.299228
25.742818,78,12644.911136
17.612347,103,12665.36149
26.344621,73,12679.953511
24.049363,77,12695.315416
20.152215,103,12715.735043
24.51366,93,12735.441996
22.411113,75,12750.391313
28.672308,97,12769.749615
28.875699,74,12784.52426
23.274092,61,12796.738722
25.173132,94,12815.561477
22.474784,76,12832.380089
27.917215,86,12849.530289
19.919728,87,12866.882918
23.15786,65,12879.762119
28.849848,75,12894.70515
26.327285,78,12910.368478
27.378882,84,12926.932587
26.745185,78,12944.060863
11.267505,57,12955.530956
25.285767,85,12972.470987
26.187248,72,12986.880922
28.01256,82,13003.336421
28.115982,89,13021.026721
25.912406,69,13035.655437
22.782423,63,13048.149541
24.1177,76,13063.261617
25.388651,84,13079.961084
17.542928,73,13094.6395
22.981647,64,13107.400703
23.070017,65,13120.331423
22.642457,70,13134.352561
25.314238,82,13151.699393
18.701267,103,13172.160983
26.008943,77,13187.669415
25.946584,61,13199.646253
25.692631,70,13213.717283
13.684551,49,13223.420295
23.427718,103,13244.727622
22.346542,66,13257.914864
28.969761,100,13277.840471
27.863523,82,13294.190302
26.029663,76,13309.424385
24.962694,84,13326.081847
26.28021,77,13341.515783
22.780394,79,13358.490517
23.451824,78,13374.003236
27.274942,101,13394.20529
28.743241,82,13410.611529
27.181957,87,13427.943398
27.776809,99,13448.730269
22.377815,60,13460.642992
25.718227,85,13477.520493
24.442802,68,13491.050432
28.377318,83,13507.621949
16.955248,103,13528.192683
23.511363,83,13544.927434
26.333692,69,13560.184146
28.838002,89,13577.910787
22.652823,64,13590.713203
26.858876,81,13606.865832
23.879028,83,13623.439284
24.949461,88,13640.917452
25.347997,78,13658.29299
22.867725,68,13671.871213
28.801354,81,13688.12891
27.61344,81,13704.163466
25.509595,92,13722.541127
27.830454,73,13737.119915
29.46329,84,13753.930458
29.183174,96,13773.898036
